*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=canBus Shieldv4
*Date=09:28:01
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;48.7278;-44.3459;0;Bottom;TXT1
2;;;15.8389;-43.9684;-90;Bottom;TXT1
3;;;16.9037;-6.58876;0;Bottom;Copper Fill23
4;100nF;200 mil [THT, multilayer];55.0314;-11.3038;-1.27222e-14;Bottom;C2
5;330;THT;33.4414;-12.5738;-1.27222e-14;Bottom;R4
6;;;49.4785;-34.052;0;Bottom;TXT1
7;;;38.5215;-46.8638;90;Top;Pad3
8;;;61.3814;-43.0538;0;Bottom;Via3
9;;THT;43.6014;-16.3838;90;Bottom;J1
10;;;45.1612;-8.83666;0;Bottom;Copper Fill70
11;;;48.0314;-44.765;0;Bottom;Copper Fill38
12;330;THT;60.1114;-41.7838;-1.27222e-14;Bottom;R1
13;;;60.1114;-45.5938;90;Top;Pad9
14;;;47.5742;-40.9042;0;Bottom;Copper Fill4
15;;;16.9037;-8.54456;0;Bottom;Copper Fill22
16;;;41.0337;-1.66116;0;Bottom;Copper Fill28
17;;;57.4929;-12.2784;0;Bottom;Copper Fill50
18;;;26.8097;-51.6484;0;Bottom;Copper Fill61
19;;;56.3014;-45.5938;90;Top;Pad7
20;;;43.5864;-27.112;0;Bottom;Copper Fill10
21;;;46.1264;-18.9586;0;Bottom;Copper Fill14
22;;;42.235;-12.9746;-90;Bottom;TXT1
23;;;25.4762;-24.0767;0;Bottom;Copper Fill19
24;;THT;57.4714;-15.1139;0;Bottom;OSC
25;;;38.481;-48.9306;0;Bottom;Copper Fill37
26;;;33.4843;-12.404;0;Bottom;TXT1
27;;;52.4764;-32.8016;0;Bottom;Copper Fill42
28;;;46.0629;-7.90956;0;Bottom;Copper Fill33
29;100nF;200 mil [THT, multilayer];43.6014;-8.76379;180;Bottom;C3
30;;;14.5542;-20.4064;0;Bottom;Copper Fill46
31;;;54.9529;-22.5146;0;Bottom;Copper Fill65
32;;;46.0629;-9.73836;0;Bottom;Copper Fill68
33;;THT;16.9314;-40.5138;90;Bottom;J2
34;;;57.4929;-10.4496;0;Bottom;Copper Fill51
35;;DIP (Dual Inline) [THT];44.8714;-25.2738;-90;Bottom;MCP2515
36;;THT;9.31136;-12.5738;90;Bottom;R6
37;330;THT;60.1114;-39.2438;-1.59028e-14;Bottom;R2
38;;3 mm [THT];53.0703;-39.2439;-90;Bottom;LED1
39;;;39.5271;-12.8831;-90;Bottom;TXT1
40;;;21.3235;-16.3345;0;Bottom;TXT1
